Entry	Gene ontology (GO)	yourlist:M20170516A7434721E10EE6586998A056CCD0537EB52514A
Q15233	membrane [GO:0016020]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; paraspeckles [GO:0042382]; RNA polymerase II transcription factor complex [GO:0090575]; chromatin binding [GO:0003682]; core promoter binding [GO:0001047]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; circadian rhythm [GO:0007623]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway [GO:1903377]; negative regulation of transcription, DNA-templated [GO:0045892]; regulation of circadian rhythm [GO:0042752]; regulation of transcription, DNA-templated [GO:0006355]; RNA splicing [GO:0008380]; transcription, DNA-templated [GO:0006351]	Q15233
P49321	cytoplasm [GO:0005737]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein complex [GO:0043234]; histone binding [GO:0042393]; Hsp90 protein binding [GO:0051879]; protein complex binding [GO:0032403]; blastocyst development [GO:0001824]; cell cycle [GO:0007049]; cell proliferation [GO:0008283]; DNA replication [GO:0006260]; DNA replication-dependent nucleosome assembly [GO:0006335]; DNA replication-independent nucleosome assembly [GO:0006336]; histone exchange [GO:0043486]; male gonad development [GO:0008584]; nucleosome assembly [GO:0006334]; protein transport [GO:0015031]; response to testosterone [GO:0033574]	P49321
Q09161	cytosol [GO:0005829]; intracellular ribonucleoprotein complex [GO:0030529]; mitochondrion [GO:0005739]; mRNA cap binding complex [GO:0005845]; nuclear cap binding complex [GO:0005846]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA cap binding complex [GO:0034518]; mRNA binding [GO:0003729]; RNA 7-methylguanosine cap binding [GO:0000340]; RNA binding [GO:0003723]; RNA cap binding [GO:0000339]; 7-methylguanosine mRNA capping [GO:0006370]; fibroblast growth factor receptor signaling pathway [GO:0008543]; gene expression [GO:0010467]; histone mRNA metabolic process [GO:0008334]; mRNA 3'-end processing [GO:0031124]; mRNA cis splicing, via spliceosome [GO:0045292]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; nuclear export [GO:0051168]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of cell growth [GO:0030307]; positive regulation of mRNA 3'-end processing [GO:0031442]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of RNA binding [GO:1905216]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; primary miRNA processing [GO:0031053]; regulation of translational initiation [GO:0006446]; RNA export from nucleus [GO:0006405]; RNA splicing [GO:0008380]; snRNA transcription from RNA polymerase II promoter [GO:0042795]; spliceosomal complex assembly [GO:0000245]; termination of RNA polymerase II transcription [GO:0006369]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription from RNA polymerase II promoter [GO:0006366]	Q09161
P52298	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mRNA cap binding complex [GO:0005845]; nuclear cap binding complex [GO:0005846]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA cap binding complex [GO:0034518]; mRNA binding [GO:0003729]; RNA 7-methylguanosine cap binding [GO:0000340]; RNA binding [GO:0003723]; RNA cap binding [GO:0000339]; snRNA binding [GO:0017069]; 7-methylguanosine mRNA capping [GO:0006370]; fibroblast growth factor receptor signaling pathway [GO:0008543]; gene expression [GO:0010467]; gene silencing by RNA [GO:0031047]; histone mRNA metabolic process [GO:0008334]; mRNA 3'-end processing [GO:0031124]; mRNA cis splicing, via spliceosome [GO:0045292]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; nuclear export [GO:0051168]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of mRNA 3'-end processing [GO:0031442]; positive regulation of RNA export from nucleus [GO:0046833]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; regulation of translational initiation [GO:0006446]; RNA export from nucleus [GO:0006405]; RNA splicing [GO:0008380]; snRNA export from nucleus [GO:0006408]; snRNA transcription from RNA polymerase II promoter [GO:0042795]; termination of RNA polymerase II transcription [GO:0006369]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription from RNA polymerase II promoter [GO:0006366]	P52298
Q14980	apical part of cell [GO:0045177]; cell cortex [GO:0005938]; centrosome [GO:0005813]; chromosome [GO:0005694]; cytosol [GO:0005829]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; Golgi membrane [GO:0000139]; mitotic spindle [GO:0072686]; mitotic spindle astral microtubule [GO:0061673]; mitotic spindle pole [GO:0097431]; neuronal cell body [GO:0043025]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein complex [GO:0043234]; spindle [GO:0005819]; spindle microtubule [GO:0005876]; spindle pole [GO:0000922]; disordered domain specific binding [GO:0097718]; microtubule binding [GO:0008017]; protein C-terminus binding [GO:0008022]; structural molecule activity [GO:0005198]; anastral spindle assembly [GO:0055048]; cell division [GO:0051301]; establishment of mitotic spindle orientation [GO:0000132]; lung epithelial cell differentiation [GO:0060487]; meiotic cell cycle [GO:0051321]; mitotic nuclear division [GO:0007067]; nucleus organization [GO:0006997]	Q14980
P57740	centrosome [GO:0005813]; condensed chromosome kinetochore [GO:0000777]; cytosol [GO:0005829]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear periphery [GO:0034399]; nuclear pore [GO:0005643]; nuclear pore outer ring [GO:0031080]; nucleoplasm [GO:0005654]; nucleocytoplasmic transporter activity [GO:0005487]; structural constituent of nuclear pore [GO:0017056]; gene silencing by RNA [GO:0031047]; intracellular transport of virus [GO:0075733]; mitotic nuclear envelope disassembly [GO:0007077]; mRNA export from nucleus [GO:0006406]; nuclear pore complex assembly [GO:0051292]; posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000973]; protein import into nucleus [GO:0006606]; protein sumoylation [GO:0016925]; regulation of cellular response to heat [GO:1900034]; regulation of glucose transport [GO:0010827]; regulation of transcription, DNA-templated [GO:0006355]; sister chromatid cohesion [GO:0007062]; tRNA export from nucleus [GO:0006409]; viral process [GO:0016032]; viral transcription [GO:0019083]	P57740
O75694	membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore inner ring [GO:0044611]; structural constituent of nuclear pore [GO:0017056]; transporter activity [GO:0005215]; atrial cardiac muscle cell action potential [GO:0086014]; gene silencing by RNA [GO:0031047]; intracellular transport of virus [GO:0075733]; mitotic nuclear envelope disassembly [GO:0007077]; mRNA export from nucleus [GO:0006406]; nuclear envelope organization [GO:0006998]; protein import into nucleus [GO:0006606]; protein sumoylation [GO:0016925]; protein targeting to nuclear inner membrane [GO:0036228]; regulation of cellular response to heat [GO:1900034]; regulation of glucose transport [GO:0010827]; RNA export from nucleus [GO:0006405]; transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000972]; tRNA export from nucleus [GO:0006409]; viral process [GO:0016032]; viral transcription [GO:0019083]	O75694
Q92621	membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear periphery [GO:0034399]; nuclear pore [GO:0005643]; nuclear pore inner ring [GO:0044611]; structural constituent of nuclear pore [GO:0017056]; gene silencing by RNA [GO:0031047]; intracellular transport of virus [GO:0075733]; mitotic nuclear envelope disassembly [GO:0007077]; mRNA export from nucleus [GO:0006406]; nuclear pore complex assembly [GO:0051292]; nucleocytoplasmic transport [GO:0006913]; protein sumoylation [GO:0016925]; regulation of cellular response to heat [GO:1900034]; regulation of glucose transport [GO:0010827]; tRNA export from nucleus [GO:0006409]; viral process [GO:0016032]; viral transcription [GO:0019083]	Q92621
P52948	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nuclear envelope [GO:0005635]; nuclear inclusion body [GO:0042405]; nuclear membrane [GO:0031965]; nuclear periphery [GO:0034399]; nuclear pore [GO:0005643]; nuclear pore cytoplasmic filaments [GO:0044614]; nuclear pore nuclear basket [GO:0044615]; nuclear pore outer ring [GO:0031080]; nucleoplasm [GO:0005654]; nuclear localization sequence binding [GO:0008139]; nucleocytoplasmic transporter activity [GO:0005487]; RNA binding [GO:0003723]; structural constituent of nuclear pore [GO:0017056]; transporter activity [GO:0005215]; DNA replication [GO:0006260]; gene silencing by RNA [GO:0031047]; intracellular transport of virus [GO:0075733]; mitotic nuclear envelope disassembly [GO:0007077]; mRNA export from nucleus [GO:0006406]; nuclear pore complex assembly [GO:0051292]; nuclear pore organization [GO:0006999]; nucleocytoplasmic transport [GO:0006913]; posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000973]; protein import into nucleus [GO:0006606]; protein sumoylation [GO:0016925]; regulation of cellular response to heat [GO:1900034]; regulation of glucose transport [GO:0010827]; RNA export from nucleus [GO:0006405]; sister chromatid cohesion [GO:0007062]; telomere tethering at nuclear periphery [GO:0034398]; tRNA export from nucleus [GO:0006409]; viral process [GO:0016032]; viral transcription [GO:0019083]	P52948
Q9HCD5	actin cytoskeleton [GO:0015629]; extracellular space [GO:0005615]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; RNA binding [GO:0003723]; glucose homeostasis [GO:0042593]; negative regulation of insulin receptor signaling pathway [GO:0046627]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	Q9HCD5
Q14995	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; core promoter sequence-specific DNA binding [GO:0001046]; RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding [GO:0004879]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]; lipid homeostasis [GO:0055088]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of circadian rhythm [GO:0042752]; regulation of energy homeostasis [GO:2000505]; regulation of inflammatory response [GO:0050727]; regulation of lipid metabolic process [GO:0019216]; regulation of skeletal muscle cell differentiation [GO:2001014]; regulation of transcription, DNA-templated [GO:0006355]; rhythmic process [GO:0048511]; transcription initiation from RNA polymerase II promoter [GO:0006367]	Q14995
Q9UBU9	cytosol [GO:0005829]; nuclear inclusion body [GO:0042405]; nuclear pore [GO:0005643]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; mRNA binding [GO:0003729]; nucleocytoplasmic transporter activity [GO:0005487]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]; mRNA export from nucleus [GO:0006406]; poly(A)+ mRNA export from nucleus [GO:0016973]; RNA export from nucleus [GO:0006405]; viral process [GO:0016032]	Q9UBU9
P67809	CRD-mediated mRNA stability complex [GO:0070937]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; histone pre-mRNA 3'end processing complex [GO:0071204]; intracellular membrane-bounded organelle [GO:0043231]; intracellular ribonucleoprotein complex [GO:0030529]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U12-type spliceosomal complex [GO:0005689]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; GTPase binding [GO:0051020]; RNA binding [GO:0003723]; RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; single-stranded DNA binding [GO:0003697]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]; CRD-mediated mRNA stabilization [GO:0070934]; in utero embryonic development [GO:0001701]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of striated muscle cell differentiation [GO:0051154]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of cell division [GO:0051781]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein localization to cytoplasmic stress granule [GO:1903608]; regulation of transcription, DNA-templated [GO:0006355]; transcription from RNA polymerase II promoter [GO:0006366]	P67809
P80303	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; nuclear envelope [GO:0005635]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; DNA binding [GO:0003677]	P80303
Q14978	Cajal body [GO:0015030]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; protein heterodimerization activity [GO:0046982]; RNA binding [GO:0003723]; RNA polymerase I core binding [GO:0001042]; cell cycle [GO:0007049]; mitotic nuclear division [GO:0007067]; neural crest cell development [GO:0014032]; neural crest formation [GO:0014029]; nucleolus organization [GO:0007000]; regulation of translation [GO:0006417]; rRNA processing [GO:0006364]	Q14978
Q9Y3T9	cytosol [GO:0005829]; Noc1p-Noc2p complex [GO:0030690]; Noc2p-Noc3p complex [GO:0030691]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; histone binding [GO:0042393]; nucleosome binding [GO:0031491]; repressing transcription factor binding [GO:0070491]; RNA binding [GO:0003723]; transcription corepressor activity [GO:0003714]; apoptotic process [GO:0006915]; cellular response to UV [GO:0034644]; chromatin assembly [GO:0031497]; negative regulation of B cell apoptotic process [GO:0002903]; negative regulation of histone acetylation [GO:0035067]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; nucleolus to nucleoplasm transport [GO:0032066]; regulation of signal transduction by p53 class mediator [GO:1901796]; ribosomal large subunit biogenesis [GO:0042273]; transcription, DNA-templated [GO:0006351]	Q9Y3T9
